id,lemma,V1 frame,UMR,synset_id,URI lemma,roles,example,definition,notes,gramm_info,additional notes (not for processing),,
3152a1,dico,v#v-w9_MPf86_MP,dico2-21,v#01016002,99302,"ACT, PAT",ea divisa hoc modo dicebantur,,,,,,
SlaT-3152-n1,erumpo,v#v-w911_MPf3_MP,erumpo-NEW-16,v#02015031,101488,"ACT, DIR3",ad Catilinam erumperent,"set out in a sudden, energetic or violent manner",,,,,
SlaT-3152-n3,percello,v#v-w1152_MPf3_MP,percello-05,v#01770501,116645,"ACT, PAT",caede et incendio perculsis omnibus,,,,,,
SlaT-3153-n1,queror,v#v-w616_MPf5_MP,queror-05,v#00911350,121157,"ACT, PAT",Cethegus semper querebatur de ignavia sociorum,,,,does not match with same frame elsewhere,,
SlaT-3153-n4,paro,v#v-w572_MPf4_MP,paro-07,v#01638368,116061,"ACT, PAT",inter haec parata atque decreta,,,,,,
SlaT-3153-n5,decerno,v#v-w635_MPf10_MP,decerno-02,v#00697589,98047,"ACT, PAT",inter haec parata atque decreta,,,,,,
3154a1,queror,v#v-w616_MPf6_MP,queror-05,v#00911350,121157,"ACT, PAT",Cethegus semper querebatur de ignavia sociorum,,,,,,
SlaT-3154-n1,corrumpo,v#v-w514_MPf6_MP,corrumpo-13,v#02527651,96706,"ACT, PAT",magnas opportunitates corrumpere,,,,,,
SlaT-3154-n4,dubito,v#v-w608_MPf5_MP,dubito-05,v#02640440,100176,"ACT, PAT",dubitando et dies prolatando,,,,does not match with same frame elsewhere,,
SlaT-3154-n5,prolato,v#v-w1338_MPf1_MP,prolato-04,v#02642814,119782,"ACT, PAT",dubitando et dies prolatando,,,,,,
3155a1,queror,v#v-w616_MPf6_MP,queror-05,v#00911350,121157,"ACT, PAT",Cethegus semper querebatur de ignavia sociorum,,,,,,
SlaT-3155-n5,opus,v#v-w1019_MPf3_MP,opus-est-NEW-01,v#01188725,115170,"ACT, PAT","facto, non consulto [...] opus est",have need of,,,"I would not use this frame, but either an abstract predicate (so far not existing) or an equivalent of smth like need-01, verbal, che però in latino non sembra esistere. what about opus-est-01? former opus-23.",,
SlaT-3155-n7,facio,v#v-w76_MPf30_MP,facio-02,v#00014549,102758,ACT,"facto, non consulto [...] opus est",,,,,,
SlaT-3155-n8,consulo,v#v-w630_MPf7_MP,consulo-04,v#00699626,96186,ACT,"facto, non consulto [...] opus est",,,,different frame than other consulo-04,,
SlaT-3155-n10,facio,v#v-w76_MPf24_MP,facio-23,v#01712704,102758,"ACT, PAT",impetum in curiam facturum,,,,,,
SlaT-3155-n12,adjuvo,v#v-w791_MPf2_MP,adiuuo-02,v#02547586,87510,ACT,si pauci adiuvarent,,,,,,
SlaT-3155-n14,langueo,v#v-w1339_MPf2_MP,langueo-05,v#02417504,109831,ACT,languentibus aliis,,,,,,
SlaT-3156-n2,sum,v#v-w2_MPf99_MP,have-mod-91,,,,,,,,,,
SlaT-3156-n9,puto,v#v-w145_MPf7_MP,puto-09,v#00689344,120610,"ACT, PAT",maxumum bonum in celeritate putabat,,,,,,
Par. 44,,,,,,,,,,,,,
